"agency_code","agency_collection_num","collection_id","code","name","street","city","zip","region","site_code","site_name","site_street","site_city","site_zip","site_region","calculated_neighborhood","calculated_neighborhood_distance","calculated_city","calculated_city_distance","calculated_subcounty","calculated_county","calculated_state","longitude","latitude","coordinate_precision","group","identified_by","trap_type","lure","collection_date","disease_week","num_trap","trap_nights","trap_problem","comments","species","add_date","add_user","males","females - mixed","females - gravid"
"CNSL",1,3367352,"","","","","","","","","","","","","","","","","","","",,,"","","JB","Gravid trap","","2025-01-30T08:00:00.000Z",5,1,1,false,"Random; Shaw Ave and DeWolf Ave","Culex quinquefasciatus","2025-01-30T19:14:08.855Z",1032,0,0,2
"CNSL",3,3378155,"","","","","","","","","","","","","","","","","","","",,,"","","JB","Gravid trap","","2025-02-25T08:00:00.000Z",9,1,1,false,"SR14; 19733 Desert Willow Ln","Culiseta incidens","2025-02-25T19:32:59.806Z",1032,0,0,2
"CNSL",4,3378156,"","","","","","","","","","","","","","","","","","","",,,"","","JB","Gravid trap","","2025-02-25T08:00:00.000Z",9,1,1,false,"SR15; 2239 Meierwood Ave","Culex quinquefasciatus","2025-02-25T19:34:16.652Z",1032,0,0,3
"CNSL",9,3396968,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"","","","","","","",-119.749722,36.826667,2,"","KR - collected by CR","Carbon dioxide baited trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF, Pistachio orch","Culex quinquefasciatus","2025-04-10T22:03:23.263Z",517,0,1,0
"CNSL",9,3396968,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"","","","","","","",-119.749722,36.826667,2,"","KR - collected by CR","Carbon dioxide baited trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF, Pistachio orch","Culex tarsalis","2025-04-10T22:03:23.263Z",517,0,6,0
"CNSL",10,3396971,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"","","","","","","",-119.749722,36.826667,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF, Pistachio orch","Culex quinquefasciatus","2025-04-10T22:04:34.857Z",517,1,0,0
"CNSL",10,3396971,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"","","","","","","",-119.749722,36.826667,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF, Pistachio orch","Culex quinquefasciatus","2025-04-10T22:04:34.857Z",517,0,0,2
"CNSL",10,3396971,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"","","","","","","",-119.749722,36.826667,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF, Pistachio orch","Culex tarsalis","2025-04-10T22:04:34.857Z",517,1,0,0
"CNSL",10,3396971,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"","","","","","","",-119.749722,36.826667,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF, Pistachio orch","Culex tarsalis","2025-04-10T22:04:34.857Z",517,0,0,3
"CNSL",10,3396971,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"001041","132001-801","South/East Corner of Bullard and Cedar; CSUF","Fresno","93710",222,"","","","","","","",-119.749722,36.826667,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF, Pistachio orch","Culicoides","2025-04-10T22:04:34.857Z",517,0,0,6
"CNSL",7,3396962,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"","","","","","","",-119.758989,36.812867,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF Stadium Ponding Basin, West of site near water","Culex quinquefasciatus","2025-04-10T21:59:30.509Z",517,0,0,5
"CNSL",7,3396962,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"","","","","","","",-119.758989,36.812867,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF Stadium Ponding Basin, West of site near water","Culex stigmatosoma","2025-04-10T21:59:30.509Z",517,1,0,0
"CNSL",7,3396962,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"","","","","","","",-119.758989,36.812867,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF Stadium Ponding Basin, West of site near water","Culex tarsalis","2025-04-10T21:59:30.509Z",517,0,0,2
"CNSL",8,3396963,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"","","","","","","",-119.758989,36.812867,2,"","KR - collected by CR","BG Sentinel","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF Stadium Ponding Basin, West of site near water","Culex quinquefasciatus","2025-04-10T22:00:56.523Z",517,0,2,0
"CNSL",8,3396963,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"","","","","","","",-119.758989,36.812867,2,"","KR - collected by CR","BG Sentinel","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF Stadium Ponding Basin, West of site near water","Culex tarsalis","2025-04-10T22:00:56.523Z",517,0,2,0
"CNSL",11,3396974,"001062","132012-801","North/West of Shaw and Woodrow; CSUF","Fresno","93740",222,"001062","132012-801","North/West of Shaw and Woodrow; CSUF","Fresno","93740",222,"","","","","","","",-119.742726,36.810553,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"Fixed; CSUF Allergy Free Garden","Culex tarsalis","2025-04-10T22:06:12.946Z",517,0,0,2
"CNSL",11,3396974,"001062","132012-801","North/West of Shaw and Woodrow; CSUF","Fresno","93740",222,"001062","132012-801","North/West of Shaw and Woodrow; CSUF","Fresno","93740",222,"","","","","","","",-119.742726,36.810553,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"Fixed; CSUF Allergy Free Garden","Culex quinquefasciatus","2025-04-10T22:06:12.946Z",517,0,0,20
"CNSL",13,3396979,"001068","132107-803","South/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"001068","132107-803","South/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"","","","","","","",-119.733492,36.819506,2,"","KR - collected by CR","Carbon dioxide baited trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"Fixed; CSUF Oranges","Culex tarsalis","2025-04-10T22:08:30.722Z",517,0,2,0
